Disease,Symptom,Severity,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4
common_cold,congestion,5.0,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
tuberculosis,chest_pain,7.0,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
common_cold,chest_pain,7.0,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
tuberculosis,blood_in_sputum,5.0,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
common_cold,loss_of_smell,3.0,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
common_cold,muscle_pain,2.0,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
influenza,fever,,,,,,
asthma,difficulty_breathing,,,,,,
asthma,fever,,,,,,
eczema,cough,4.0,,,,,
influenza,fatigue,4.0,,,,,
influenza,difficulty_breathing,,,,,,
asthma,fatigue,4.0,,,,,
pancreatitis,fever,,,,,,
depression,fatigue,4.0,,,,,
liver_cancer,difficulty_breathing,,,,,,
stroke,fever,,,,,,
urinary_tract_infection,cough,4.0,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
dengue_fever,fatigue,4.0,,,,,
dengue_fever,difficulty_breathing,,,,,,
gastroenteritis,cough,4.0,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
hepatitis,fatigue,4.0,,,,,
migraine,fever,,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
ulcerative_colitis,fever,,,,,,
bronchitis,fatigue,4.0,,,,,
bronchitis,difficulty_breathing,,,,,,
bronchitis,fever,,,,,,
eczema,difficulty_breathing,,,,,,
influenza,cough,4.0,,,,,
myocardial_infarction_(heart...,fever,,,,,,
urinary_tract_infection_(uti),cough,4.0,,,,,
common_cold,fever,,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
migraine,cough,4.0,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
asthma,cough,4.0,,,,,
chronic_obstructive_pulmonary...,cough,4.0,,,,,
hypertension,cough,4.0,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep
pneumonia,fever,,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
psoriasis,fatigue,4.0,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
rubella,fever,,,,,,
rubella,cough,4.0,,,,,
gastroenteritis,fever,,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
hyperthyroidism,cough,4.0,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",eat healthy,massage,use lemon balm,take radioactive iodine treatment
malaria,fatigue,4.0,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
malaria,difficulty_breathing,,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
rheumatoid_arthritis,difficulty_breathing,,,,,,
ulcerative_colitis,difficulty_breathing,,,,,,
urinary_tract_infection,fever,,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
liver_cancer,fatigue,4.0,,,,,
stroke,cough,4.0,,,,,
anxiety_disorders,fatigue,4.0,,,,,
diabetes,difficulty_breathing,,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up
osteoarthritis,cough,4.0,,,,,
diabetes,fever,,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up
rabies,difficulty_breathing,,,,,,
rabies,fever,,,,,,
psoriasis,difficulty_breathing,,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
depression,cough,4.0,,,,,
kidney_cancer,difficulty_breathing,,,,,,
liver_cancer,fever,,,,,,
liver_disease,cough,4.0,,,,,
lung_cancer,fatigue,4.0,,,,,
migraine,difficulty_breathing,,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
hypothyroidism,fever,,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress,exercise,eat healthy,get proper sleep
hypothyroidism,cough,4.0,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress,exercise,eat healthy,get proper sleep
kidney_disease,fatigue,4.0,,,,,
crohn's_disease,fatigue,4.0,,,,,
hepatitis,difficulty_breathing,,,,,,
hepatitis,fever,,,,,,
kidney_disease,difficulty_breathing,,,,,,
melanoma,fever,,,,,,
rheumatoid_arthritis,fever,,,,,,
allergic_rhinitis,difficulty_breathing,,,,,,
anxiety_disorders,fever,,,,,,
crohn's_disease,cough,4.0,,,,,
liver_disease,difficulty_breathing,,,,,,
multiple_sclerosis,fever,,,,,,
multiple_sclerosis,cough,4.0,,,,,
osteoarthritis,fatigue,4.0,,,,,
osteoporosis,difficulty_breathing,,,,,,
pneumocystis_pneumonia_(pcp),fever,,,,,,
allergic_rhinitis,cough,4.0,,,,,
cholera,fever,,,,,,
cholera,cough,4.0,,,,,
endometriosis,fatigue,4.0,,,,,
sepsis,cough,4.0,,,,,
sleep_apnea,fatigue,4.0,,,,,
urinary_tract_infection,difficulty_breathing,,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
bronchitis,cough,4.0,,,,,
ebola_virus,difficulty_breathing,,,,,,
ebola_virus,fever,,,,,,
gastroenteritis,fatigue,4.0,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
lyme_disease,cough,4.0,,,,,
lyme_disease,fatigue,4.0,,,,,
hypertension,difficulty_breathing,,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep
appendicitis,fatigue,4.0,,,,,
hiv/aids,fever,,,,,,
hiv/aids,cough,4.0,,,,,
anxiety_disorders,cough,4.0,,,,,
osteoarthritis,difficulty_breathing,,,,,,
osteoporosis,fever,,,,,,
osteoporosis,fatigue,4.0,,,,,
polycystic_ovary_syndrome_(pcos),fever,,,,,,
coronary_artery_disease,difficulty_breathing,,,,,,
coronary_artery_disease,fever,,,,,,
measles,fatigue,4.0,,,,,
measles,difficulty_breathing,,,,,,
polio,cough,4.0,,,,,
hypertension,fever,,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep
kidney_cancer,fatigue,4.0,,,,,
pancreatitis,cough,4.0,,,,,
parkinson's_disease,fatigue,4.0,,,,,
parkinson's_disease,difficulty_breathing,,,,,,
tuberculosis,difficulty_breathing,,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
otitis_media_(ear_infection),fatigue,4.0,,,,,
stroke,difficulty_breathing,,,,,,
urinary_tract_infection_(uti),fatigue,4.0,,,,,
chronic_obstructive_pulmonary_disease_(copd),difficulty_breathing,,,,,,
chronic_obstructive_pulmonary_disease_(copd),fever,,,,,,
lung_cancer,cough,4.0,,,,,
stroke,fatigue,4.0,,,,,
alzheimer's_disease,difficulty_breathing,,,,,,
alzheimer's_disease,fever,,,,,,
prostate_cancer,fatigue,4.0,,,,,
gout,fever,,,,,,
tonsillitis,cough,4.0,,,,,
allergic_rhinitis,fever,,,,,,
rheumatoid_arthritis,fatigue,4.0,,,,,
depression,difficulty_breathing,,,,,,
urinary_tract_infection,fatigue,4.0,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
migraine,fatigue,4.0,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
sinusitis,fever,,,,,,
ulcerative_colitis,cough,4.0,,,,,
ulcerative_colitis,fatigue,4.0,,,,,
myocardial_infarction_(heart...,cough,4.0,,,,,
chronic_obstructive_pulmonary...,fatigue,4.0,,,,,
common_cold,difficulty_breathing,,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
eczema,fever,,,,,,
hypertension,fatigue,4.0,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation,salt baths,reduce stress,get proper sleep
hyperthyroidism,difficulty_breathing,,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",eat healthy,massage,use lemon balm,take radioactive iodine treatment
psoriasis,fever,,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
urinary_tract_infection_(uti),difficulty_breathing,,,,,,
conjunctivitis_(pink_eye),difficulty_breathing,,,,,,
allergic_rhinitis,fatigue,4.0,,,,,
liver_disease,fever,,,,,,
osteoporosis,cough,4.0,,,,,
pneumonia,difficulty_breathing,,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
rabies,cough,4.0,,,,,
chickenpox,fever,,,,,,
chickenpox,cough,4.0,,,,,
lymphoma,cough,4.0,,,,,
psoriasis,cough,4.0,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
kidney_disease,fever,,,,,,
zika_virus,fatigue,4.0,,,,,
zika_virus,difficulty_breathing,,,,,,
diabetes,cough,4.0,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet,exercise,consult doctor,follow up
pneumocystis_pneumonia_(pcp),cough,4.0,,,,,
crohn's_disease,difficulty_breathing,,,,,,
rheumatoid_arthritis,cough,4.0,,,,,
sepsis,fatigue,4.0,,,,,
ebola_virus,cough,4.0,,,,,
eczema,fatigue,4.0,,,,,
gastroenteritis,difficulty_breathing,,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
liver_cancer,cough,4.0,,,,,
multiple_sclerosis,fatigue,4.0,,,,,
osteoarthritis,fever,,,,,,
polycystic_ovary_syndrome_(pcos),cough,4.0,,,,,
systemic_lupus_erythematosus...,fatigue,4.0,,,,,
typhoid_fever,difficulty_breathing,,,,,,
typhoid_fever,fever,,,,,,
coronary_artery_disease,cough,4.0,,,,,
measles,fever,,,,,,
polio,fatigue,4.0,,,,,
hepatitis_b,difficulty_breathing,,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication
pancreatitis,fatigue,4.0,,,,,
parkinson's_disease,fever,,,,,,
tuberculosis,fever,,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
otitis_media_(ear_infection),difficulty_breathing,,,,,,
alzheimer's_disease,cough,4.0,,,,,
prostate_cancer,difficulty_breathing,,,,,,
schizophrenia,fever,,,,,,
tonsillitis,fatigue,4.0,,,,,
depression,fever,,,,,,
dengue_fever,fever,,,,,,
dengue_fever,cough,4.0,,,,,
kidney_cancer,cough,4.0,,,,,
muscular_dystrophy,fever,,,,,,
sinusitis,cough,4.0,,,,,
bipolar_disorder,difficulty_breathing,,,,,,
cerebral_palsy,difficulty_breathing,,,,,,
colorectal_cancer,fever,,,,,,
hypertensive_heart_disease,fatigue,4.0,,,,,
myocardial_infarction_(heart...,fatigue,4.0,,,,,
atherosclerosis,fatigue,4.0,,,,,
chronic_obstructive_pulmonary...,difficulty_breathing,,,,,,
epilepsy,fatigue,4.0,,,,,
hyperthyroidism,fever,,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",eat healthy,massage,use lemon balm,take radioactive iodine treatment
obsessive_compulsive_disorde...,cough,4.0,,,,,
rubella,fatigue,4.0,,,,,
rubella,difficulty_breathing,,,,,,
urinary_tract_infection_(uti),fever,,,,,,
cirrhosis,difficulty_breathing,,,,,,
spina_bifida,difficulty_breathing,,,,,,
klinefelter_syndrome,cough,4.0,,,,,
acne,fatigue,4.0,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
brain_tumor,difficulty_breathing,,,,,,
cystic_fibrosis,cough,4.0,,,,,
glaucoma,difficulty_breathing,,,,,,
"eating_disorders_(anorexia,...",fever,,,,,,
fibromyalgia,cough,4.0,,,,,
hemophilia,difficulty_breathing,,,,,,
hypoglycemia,cough,4.0, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,lie down on side,check in pulse,drink sugary drinks,consult doctor
lung_cancer,fever,,,,,,
hypothyroidism,difficulty_breathing,,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress,exercise,eat healthy,get proper sleep
autism_spectrum_disorder_(asd),difficulty_breathing,,,,,,
crohn's_disease,fever,,,,,,
hepatitis,cough,4.0,,,,,
hyperglycemia,difficulty_breathing,,,,,,
kidney_cancer,fever,,,,,,
melanoma,fatigue,4.0,,,,,
ovarian_cancer,fever,,,,,,
turner_syndrome,fever,,,,,,
turner_syndrome,cough,4.0,,,,,
zika_virus,fever,,,,,,
cataracts,cough,4.0,,,,,
pneumocystis_pneumonia_(pcp),fatigue,4.0,,,,,
sickle_cell_anemia,cough,4.0,,,,,
tetanus,fatigue,4.0,,,,,
tetanus,difficulty_breathing,,,,,,
anemia,fever,,,,,,
cholera,fatigue,4.0,,,,,
cholera,difficulty_breathing,,,,,,
sepsis,difficulty_breathing,,,,,,
sleep_apnea,fever,,,,,,
down_syndrome,fever,,,,,,
ebola_virus,fatigue,4.0,,,,,
pancreatic_cancer,cough,4.0,,,,,
pneumothorax,fatigue,4.0,,,,,
multiple_sclerosis,difficulty_breathing,,,,,,
appendicitis,fever,,,,,,
esophageal_cancer,cough,4.0,,,,,
marfan_syndrome,fatigue,4.0,,,,,
parkinson's_disease,cough,4.0,,,,,
systemic_lupus_erythematosus...,difficulty_breathing,,,,,,
breast_cancer,fever,,,,,,
osteomyelitis,difficulty_breathing,,,,,,
polio,difficulty_breathing,,,,,,
chronic_kidney_disease,cough,4.0,,,,,
hemophilia,fatigue,4.0,,,,,
hepatitis_b,fever,,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication
kidney_disease,cough,4.0,,,,,
pancreatitis,difficulty_breathing,,,,,,
prader_willi_syndrome,fatigue,4.0,,,,,
thyroid_cancer,fever,,,,,,
bladder_cancer,fatigue,4.0,,,,,
otitis_media_(ear_infection),fever,,,,,,
tourette_syndrome,difficulty_breathing,,,,,,
chronic_obstructive_pulmonary_disease_(copd),cough,4.0,,,,,
chronic_obstructive_pulmonary_disease_(copd),fatigue,4.0,,,,,
dementia,difficulty_breathing,,,,,,
diverticulitis,cough,4.0,,,,,
lung_cancer,difficulty_breathing,,,,,,
mumps,cough,4.0,,,,,
mumps,fatigue,4.0,,,,,
alzheimer's_disease,fatigue,4.0,,,,,
cholecystitis,difficulty_breathing,,,,,,
schizophrenia,cough,4.0,,,,,
gout,fatigue,4.0,,,,,
testicular_cancer,fatigue,4.0,,,,,
tonsillitis,difficulty_breathing,,,,,,
williams_syndrome,fever,,,,,,
cerebral_palsy,fever,,,,,,
myocardial_infarction_(heart...,difficulty_breathing,,,,,,
chronic_obstructive_pulmonary...,fever,,,,,,
liver_disease,fatigue,4.0,,,,,
cystic_fibrosis,fatigue,4.0,,,,,
sleep_apnea,cough,4.0,,,,,
pneumothorax,difficulty_breathing,,,,,,
